1;12094.47315;265
1;17805.75306;250
2;10286.62329;204
2;17783.79177;156
3;10374.38712;203
3;17347.05902;172
4;9990.713006;203
4;17275.17968;141
5;10121.98694;203
5;17796.83098;141
6;12138.06775;187
6;18195.28824;125
7;10177.87837;156
7;16924.64368;110
8;8308.035544;156
8;17714.92309;125
9;11659.39237;156
9;17503.71589;125
10;8168.38544;157
10;18381.45961;125
11;12392.0011;172
11;17976.64513;109
12;11213.80623;219
12;18147.77622;125
13;11067.2053;234
13;17575.90247;125
14;8549.342474;156
14;18051.81534;125
15;11032.9866;156
15;17806.9677;125
16;11584.86452;157
16;17164.99366;125
17;6738.268749;156
17;17803.82526;125
18;11091.74132;156
18;18097.54247;125
19;10258.18799;156
19;18163.05508;125
20;10280.51904;157
20;18179.80569;125
21;8595.474206;172
21;17985.60206;125
22;11433.68125;156
22;17839.95976;125
23;9767.359826;156
23;16457.95668;125
24;10443.80594;156
24;17130.37584;125
25;10807.29996;178
25;17954.88033;110
26;10641.92765;172
26;16196.45734;125
27;10779.8722;156
27;17715.59879;125
28;10248.02175;172
28;17822.70464;125
29;9560.764287;156
29;17082.57589;125
30;8424.754519;156
30;17345.99323;125
